tipo_elem,distrito,id,id_cruce,fecha_inst,longitud,latitud
SEMAFORO 2/200 PEATON - BICI,9,44134,978,2019-04-14T00:00:00Z,-3.72751260040465,40.448277122345
SEMAFORO 2/200 PEATON - BICI,9,35846,1439,2019-12-24T00:00:00Z,-3.7273826976305,40.4458694898732
SEMAFORO 2/200 PEATON - BICI,9,44142,978,2019-04-14T00:00:00Z,-3.72785580669044,40.44786279965
SEMAFORO 2/200 PEATON - BICI,9,44141,978,2019-04-14T00:00:00Z,-3.72791739391565,40.4478561712455
SEMAFORO 2/200 PEATON - BICI,9,44140,978,2019-04-14T00:00:00Z,-3.727962387666,40.4478509881496
SEMAFORO 2/200 PEATON - BICI,9,44139,978,2019-04-14T00:00:00Z,-3.7280209033656,40.4478443790077
SEMAFORO 2/200 PEATON - BICI,9,44138,978,2019-04-14T00:00:00Z,-3.72844613883142,40.448412683984
SEMAFORO 2/200 PEATON - BICI,9,44137,978,2019-04-14T00:00:00Z,-3.72852238231797,40.4483048525835
SEMAFORO 2/200 PEATON - BICI,9,44136,978,2019-04-14T00:00:00Z,-3.72854624164601,40.4482434519967
SEMAFORO 2/200 PEATON - BICI,9,44135,978,2019-04-14T00:00:00Z,-3.72852545289818,40.4481310981481
SEMAFORO 2/200 PEATON - BICI,9,44133,978,2019-04-14T00:00:00Z,-3.72749423023864,40.4483602588336
SEMAFORO 2/200 PEATON - BICI,9,44132,978,2019-04-14T00:00:00Z,-3.72740669917022,40.4485134450803
SEMAFORO 2/200 PEATON - BICI,9,44131,978,2019-04-14T00:00:00Z,-3.72748411910748,40.4485694132818
SEMAFORO 2/200 PEATON - BICI,10,30482,1997,2007-04-05T00:00:00Z,-3.73909148845172,40.4111688102121
SEMAFORO 2/200 PEATON - BICI,10,34482,2039,2007-12-13T00:00:00Z,-3.75767375403102,40.3985763373555
SEMAFORO 2/200 PEATON - BICI,10,34481,2039,2021-06-04T00:00:00Z,-3.75756376747462,40.3987091564968
SEMAFORO 2/200 PEATON - BICI,10,46600,1996,2007-04-05T00:00:00Z,-3.72990088393783,40.4146233713874
SEMAFORO 2/200 PEATON - BICI,10,46599,1996,2007-04-05T00:00:00Z,-3.7297907352061,40.4146649496974
SEMAFORO 2/200 PEATON - BICI,10,38769,1810,2004-07-29T00:00:00Z,-3.76536788619103,40.3684597195445
SEMAFORO 2/200 PEATON - BICI,10,38767,1810,2004-07-29T00:00:00Z,-3.76520375916241,40.3685575544667
SEMAFORO 2/200 PEATON - BICI,10,47279,1745,2003-11-02T00:00:00Z,-3.76010238804276,40.3841660873805
SEMAFORO 2/200 PEATON - BICI,10,38768,1810,2004-07-29T00:00:00Z,-3.76528841481994,40.3685297035675
SEMAFORO 2/200 BICI,10,52636,242,2014-06-11T00:00:00Z,-3.72390662362348,40.4139268046895
SEMAFORO 2/200 BICI,10,52637,242,2014-06-11T00:00:00Z,-3.72390122541131,40.4141229682631
SEMAFORO 2/200 PEATON - BICI,10,49254,939,1980-02-01T00:00:00Z,-3.75785267968866,40.3976201631705
SEMAFORO 2/200 PEATON - BICI,10,49255,939,1980-02-01T00:00:00Z,-3.75786883048738,40.3975842272917
SEMAFORO 2/200 PEATON - BICI,10,38770,1810,2004-07-29T00:00:00Z,-3.76545611125107,40.368425639079
SEMAFORO 2/200 PEATON - BICI,10,47280,1745,2003-11-02T00:00:00Z,-3.75995953814935,40.3842701726869
SEMAFORO 2/200 PEATON - BICI,10,46486,1011,1981-02-07T00:00:00Z,-3.73006927407147,40.4023761216241
SEMAFORO 2/200 PEATON - BICI,10,46485,1011,1981-02-07T00:00:00Z,-3.72996917898652,40.4024043872214
SEMAFORO 2/200 PEATON - BICI,10,46484,1011,1981-02-07T00:00:00Z,-3.72986970582918,40.4025419052764
SEMAFORO 2/200 PEATON - BICI,10,46483,1011,1981-02-07T00:00:00Z,-3.72977965426743,40.4025718306333
SEMAFORO 2/200 PEATON - BICI,10,30483,1997,2007-04-05T00:00:00Z,-3.7389677272456,40.4111645382138
SEMAFORO 2/200 PEATON - BICI,11,39253,1333,1992-08-13T00:00:00Z,-3.74215439023164,40.3730813007434
SEMAFORO 2/200 PEATON - BICI,11,39252,1333,1992-08-13T00:00:00Z,-3.74203942440275,40.3730822801502
SEMAFORO 2/200 PEATON - BICI,11,39251,1333,2020-01-23T00:00:00Z,-3.74195732736761,40.3730853772298
SEMAFORO 2/200 PEATON - BICI,11,39250,1333,1992-08-13T00:00:00Z,-3.74188496244556,40.3730903069755
SEMAFORO 2/200 PEATON - BICI,11,43928,1338,1992-10-09T00:00:00Z,-3.74679456034882,40.3748409552899
SEMAFORO 2/200 PEATON - BICI,11,43929,1338,2020-09-22T00:00:00Z,-3.74674770118569,40.3748010018122
SEMAFORO 2/200 PEATON - BICI,11,39045,1341,1992-09-25T00:00:00Z,-3.75328455604797,40.3767690701404
SEMAFORO 2/200 PEATON - BICI,11,39044,1341,1992-09-25T00:00:00Z,-3.7533532939854,40.3768077734052
SEMAFORO 2/200 PEATON - BICI,11,39222,1814,2018-01-10T00:00:00Z,-3.74397452258501,40.363500137216
SEMAFORO 2/200 PEATON - BICI,11,39223,1814,2018-01-10T00:00:00Z,-3.74400090554261,40.3635725252537
SEMAFORO 2/200 PEATON - BICI,11,39225,1814,2018-01-10T00:00:00Z,-3.74404879553033,40.3637964321705
SEMAFORO 2/200 PEATON - BICI,11,39224,1814,2004-07-29T00:00:00Z,-3.74401991338703,40.3637213770825
SEMAFORO 2/200 PEATON - BICI,11,39198,1817,2004-07-29T00:00:00Z,-3.74802253078391,40.3629886071429
SEMAFORO 2/200 PEATON - BICI,11,39207,1817,2004-07-29T00:00:00Z,-3.74818628825579,40.362663981949
SEMAFORO 2/200 PEATON - BICI,11,39197,1817,2004-07-29T00:00:00Z,-3.74826963860591,40.3628761921483
SEMAFORO 2/200 PEATON - BICI,11,39196,1817,2004-07-29T00:00:00Z,-3.7482444393905,40.3628043444011
SEMAFORO 2/200 PEATON - BICI,11,39199,1817,2004-07-29T00:00:00Z,-3.74790441146852,40.3630119333946
