num_expediente;fecha;hora;localizacion;numero;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;victima;tipo_persona;rango_edad;sexo;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2021S003008;28/02/2021;17:15:00;PASEO. PRADO, 9;9;RETIRO;Colisión lateral;Despejado;Bicicleta;10080;Conductor;De 30 a 34 años;Hombre;7;441222,78;4474290,87;N;NULL
2021S003050;27/02/2021;21:20:00;CALL. EDUARDO BARREIROS, 21;21;USERA;Choque contra obstáculo fijo;Despejado;Bicicleta;10081;Conductor;De 35 a 39 años;Mujer;7;440886,1;4468797,19;N;NULL
2021S003057;19/02/2021;20:20:00;CALL. NUESTRA SEÑORA DE VALVERDE, 138;138;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;10082;Conductor;De 35 a 39 años;Hombre;14;441831,44;4483306,96;N;NULL
2021S003061;26/02/2021;19:50:00;PASEO. ACACIAS / CALL. RIBERA DE CURTIDORES;20;ARGANZUELA;Caída;Despejado;Bicicleta;10083;Conductor;De 40 a 44 años;Hombre;7;440018,64;4472837,13;N;NULL
2021S003197;04/03/2021;11:30:00;AVDA. MARTIRES MARISTAS, 2E;2E;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Bicicleta;10084;Conductor;Más de 74 años;Hombre;3;438948,18;4479297,67;N;NULL
2021S003207;04/03/2021;15:30:00;CALL. BRAVO MURILLO, 145;145;TETUÁN;Colisión múltiple;Despejado;Bicicleta;10085;Conductor;De 25 a 29 años;Hombre;2;440336,21;4478021,8;N;NULL
2021S003209;04/03/2021;15:35:00;CALL. FLORENCIO CANO CRISTOBAL / CALL. JOSE BERGAMIN;14;MORATALAZ;Colisión fronto-lateral;Despejado;Bicicleta;10086;Conductor;De 15 a 17 años;Hombre;14;446412,16;4473550,01;N;NULL
2021S003217;03/03/2021;17:09:00;CALL. BRUJAS / CALL. ATENAS;3A;MORATALAZ;Atropello a persona;Despejado;Bicicleta;10087;Conductor;De 50 a 54 años;Hombre;14;446914,61;4472883,07;N;NULL
2021S003217;03/03/2021;17:09:00;CALL. BRUJAS / CALL. ATENAS;3A;MORATALAZ;Atropello a persona;Despejado;Bicicleta;10088;Peatón;Menor de 5 años;Hombre;6;446914,61;4472883,07;N;NULL
2021S003345;06/03/2021;13:35:00;AVDA. BUENOS AIRES / AVDA. MIGUEL HERNANDEZ;101;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta;10089;Conductor;De 50 a 54 años;Mujer;6;444598,88;4469981,97;N;NULL
2021S003348;05/03/2021;21:51:00;CALL. TORPEDERO TUCUMAN, 24;24;CHAMARTÍN;Caída;Despejado;Bicicleta;10090;Conductor;De 18 a 20 años;Hombre;1;443007,5;4479270,72;N;NULL
2021S003383;06/03/2021;1:12:00;CALL. TOLEDO, 50;50;CENTRO;Colisión fronto-lateral;Lluvia débil;Bicicleta;10091;Conductor;De 25 a 29 años;Hombre;1;439920,92;4473730,57;N;NULL
2021S003420;07/03/2021;14:20:00;CALL. GRAN VIA / CALL. SAN BERNARDO;56;CENTRO;Alcance;Despejado;Bicicleta;10092;Conductor;De 25 a 29 años;Hombre;NULL;439986,55;4474774,26;N;NULL
2021S003426;06/03/2021;16:40:00;CALL. JUAN BRAVO / CALL. NUÑEZ DE BALBOA;15;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;10093;Conductor;De 35 a 39 años;Hombre;7;442163,46;4476029,91;N;NULL
2021S003456;07/03/2021;12:10:00;CALL. VALLE DE MENA, 14;14;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;10094;Conductor;De 25 a 29 años;Mujer;7;439229,31;4480236,36;N;NULL
