PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,DATE,D01,V01
28,79,18,12,2019-05-01T00:00:00Z,23,V
28,79,18,12,2019-06-01T00:00:00Z,34,V
28,79,18,12,2019-07-01T00:00:00Z,52,N
28,79,18,12,2019-08-01T00:00:00Z,19,V
28,79,18,12,2019-09-01T00:00:00Z,49,V
28,79,18,12,2019-10-01T00:00:00Z,79,V
28,79,18,12,2019-11-01T01:00:00Z,19,V
28,79,18,12,2019-12-01T01:00:00Z,32,V
28,79,18,14,2019-01-01T01:00:00Z,10,V
28,79,18,14,2019-02-01T01:00:00Z,72,V
28,79,18,14,2019-03-01T01:00:00Z,38,V
28,79,18,14,2019-04-01T00:00:00Z,51,V
28,79,18,14,2019-05-01T00:00:00Z,85,V
28,79,18,14,2019-06-01T00:00:00Z,93,V
