FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
02/05/2021;ES20;2=;8138;9901;9999;9999;5680;5964;8261;9144;8658;8224;7042;6078
02/05/2021;ES21;1-;39;40;23;30;31;49;80;167;328;449;587;771
02/05/2021;ES21;1=;870;756;446;456;573;601;607;615;537;507;326;76
02/05/2021;ES21;2-;46;27;30;13;31;70;136;149;340;547;823;1074
02/05/2021;ES21;2=;1418;1157;504;507;717;895;854;874;556;449;273;49
02/05/2021;ES22;1-;295;127;89;68;95;85;132;142;221;395;513;750
02/05/2021;ES22;1=;973;1043;1021;754;626;842;912;948;851;697;619;557
02/05/2021;ES22;2-;388;158;126;91;89;60;128;205;265;398;637;908
02/05/2021;ES22;2=;1176;1190;1139;883;707;888;919;1018;964;854;726;745
02/05/2021;ES23;1-;523;200;168;156;135;158;367;329;437;183;80;87
02/05/2021;ES23;1=;94;109;96;82;875;1499;1793;1818;1734;1297;1071;901
02/05/2021;ES23;2-;1210;428;267;219;160;153;268;372;379;568;870;1181
02/05/2021;ES23;2=;1521;1706;1733;1573;1530;1861;1822;1850;1728;1761;2010;1818
02/05/2021;ES24;1-;152;72;53;49;32;32;40;53;85;124;255;353
02/05/2021;ES24;1=;489;572;545;316;325;455;420;438;445;401;405;308
02/05/2021;ES24;2-;99;36;37;26;28;30;39;89;97;139;237;395
02/05/2021;ES24;2=;448;527;449;281;213;293;369;380;293;253;193;155
02/05/2021;ES25;1-;115;52;31;34;28;26;46;45;50;78;114;108
02/05/2021;ES25;1=;149;156;148;156;145;135;152;163;130;148;116;98
02/05/2021;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0
02/05/2021;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0
02/05/2021;ES26;1-;216;81;86;68;57;58;64;59;116;112;149;218
02/05/2021;ES26;1=;241;239;294;290;215;314;242;247;271;253;279;211
02/05/2021;ES26;2-;218;98;71;69;61;41;59;72;116;122;182;249
02/05/2021;ES26;2=;249;293;338;323;285;381;282;300;334;317;313;267
02/05/2021;ES27;1-;673;277;232;159;183;185;277;355;424;607;909;1263
