hasIdBycicleParking,description,state,installDate,PostalAddress
457516,"SITUADO APARCABICICLETAS, Pz. ANGEL CARBAJO Nº8",OPERATIVO,,PLAZA ANGEL CARBAJO
457517,"SITUADO APARCABICICLETAS, C/ FRANCISCO GERVAS Nº26",OPERATIVO,,"Calle de Francisco Gervás, Madrid"
457518,"SITUADO APARCABICICLETAS, C/ BRAVO MURILLO Nº278",OPERATIVO,,Calle de Bravo Murillo
457519,"SITUADO APARCABICICLETAS, C/ MARQUES DE VIANA Nº41",OPERATIVO,,"Calle del Marqués de Viana, Madrid"
457520,"SITUADO APARCABICICLETAS, C/ MARQUES DE VIANA Nº56",OPERATIVO,,"Calle del Marqués de Viana, Madrid"
457521,"SITUADO APARCABICICLETAS, C/ VILLAAMIL Nº263",OPERATIVO,,"Calle de Villaamil, Madrid"
457522,"SITUADO APARCABICICLETAS, C/ SINESIO DELGADO Nº23",OPERATIVO,,Sinesio Delgado Street
457524,"SITUADO APARCABICICLETAS, C/ SINESIO DELGADO Nº34",OPERATIVO,,Sinesio Delgado Street
457525,"SITUADO APARCABICICLETAS, C/ SINESIO DELGADO Nº34",OPERATIVO,,Sinesio Delgado Street
457526,"SITUADO APARCABICICLETAS, C/ SINESIO DELGADO Nº28",OPERATIVO,,Sinesio Delgado Street
457527,"SITUADO APARCABICICLETAS, Pº DE LA DIRECCION Nº295",OPERATIVO,,paseo de la Dirección
457528,"SITUADO APARCABICICLETAS, Pº DE LA DIRECCION Nº295",OPERATIVO,,paseo de la Dirección
457529,"SITUADO APARCABICICLETAS, Pº DE LA DIRECCION Nº267",OPERATIVO,,paseo de la Dirección
457530,"SITUADO APARCABICICLETAS, C/ BRAVO MURILLO Nº248",OPERATIVO,,Calle de Bravo Murillo
457532,"SITUADO APARCABICICLETAS, C/ INFANTA MERCEDES Nº47",OPERATIVO,,"Calle de Infanta Mercedes, Madrid"
457534,"SITUADO APARCABICICLETAS, C/ NTRA. SRA. DEL CARMEN Nº3",OPERATIVO,,Calle Nuestra Señora Del Carmen
457535,"SITUADO APARCABICICLETAS, C/ HIERBABUENA Nº2",OPERATIVO,,CALLE HIERBABUENA
