ID,Lugar,MINTDISTRI,NOMBRE_DIS,MINTBARRIO,NOMBRE_BAR,ESTADO,INSTALLDAT,Direccion,"MINTNUMERO,C,25","MINTNDP,C,20","MODELO,C,254"
207288, I.E.S GREGORIO MARAÑON,8,FUENCARRAL-EL PARDO,84,EL PILAR,OPERATIVO,,AVENIDA DE  I.E.S GREGORIO MARAÑON,43,20104396,
207342, CUATRO TORRES BUSINESS AREA,8,FUENCARRAL-EL PARDO,85,LA PAZ,OPERATIVO,,CALLE DE  CUATRO TORRES BUSINESS AREA,2,11046911,
207485, C.P LUIS DE GONGORA,8,FUENCARRAL-EL PARDO,84,EL PILAR,OPERATIVO,,CALLE DE  C.P LUIS DE GONGORA,49,31054399,
208440, C.P. BREOGAN,8,FUENCARRAL-EL PARDO,85,LA PAZ,OPERATIVO,,CALLE DE  C.P. BREOGAN,2,31022711,
209788, INST. DEPORTIVA BASICA ISLA DE TABARCA,8,FUENCARRAL-EL PARDO,83,PEÑA GRANDE,OPERATIVO,,CALLE DE  INST. DEPORTIVA BASICA ISLA DE TABARCA,104,20097783,
211592, PARQUE DEL POBLADO SAN FRANCISCO,8,FUENCARRAL-EL PARDO,82,FUENTELARREINA,OPERATIVO,,CALLE DE  PARQUE DEL POBLADO SAN FRANCISCO,8:00 AM,20148701,
211608, POLIDEPORTIVO VICENTE DEL BOSQUE,8,FUENCARRAL-EL PARDO,85,LA PAZ,OPERATIVO,,AVENIDA DE  POLIDEPORTIVO VICENTE DEL BOSQUE,13,11046919,
212414, IES PRINCIPE FELIPE,8,FUENCARRAL-EL PARDO,85,LA PAZ,OPERATIVO,,AVENIDA DE  IES PRINCIPE FELIPE,28,20095316,
212758, COLEGIO BRAVO MURILLO,8,FUENCARRAL-EL PARDO,83,PEÑA GRANDE,OPERATIVO,,CALLE DE  COLEGIO BRAVO MURILLO,82,11045647,
214609, COLEGIO LA SALLE,8,FUENCARRAL-EL PARDO,83,PEÑA GRANDE,OPERATIVO,,CALLE DE  COLEGIO LA SALLE,47,11045555,
214877, COLEGIO PUBLICO ALHAMBRA,8,FUENCARRAL-EL PARDO,83,PEÑA GRANDE,OPERATIVO,,CALLE DE  COLEGIO PUBLICO ALHAMBRA,103,11077589,
214966, C.P. CARDENAL HERRERA ORIA,8,FUENCARRAL-EL PARDO,84,EL PILAR,OPERATIVO,,CALLE DE  C.P. CARDENAL HERRERA ORIA,68,11045737,
215420, CASA DE NIÑOS ARROYOFRESNO,8,FUENCARRAL-EL PARDO,83,PEÑA GRANDE,OPERATIVO,,PLAZA DE  CASA DE NIÑOS ARROYOFRESNO,8,11045499,
215681, PARROQUIA DE SANTA MARIA DE LA ESPERANZA,8,FUENCARRAL-EL PARDO,84,EL PILAR,OPERATIVO,,CALLE DE  PARROQUIA DE SANTA MARIA DE LA ESPERANZA,47,20139529,
215745, POLIDEPORTIVO LA MASO,8,FUENCARRAL-EL PARDO,87,MIRASIERRA,OPERATIVO,,AVENIDA DE  POLIDEPORTIVO LA MASO,2,20079569,
216205," BARRIO DE ARGENTINA, FRENTE A LA CANCHA",8,FUENCARRAL-EL PARDO,83,PEÑA GRANDE,OPERATIVO,,"CALLE DE  BARRIO DE ARGENTINA, FRENTE A LA CANCHA",69,31015444,
216640, INS.DEP/METRO LACOMA,8,FUENCARRAL-EL PARDO,83,PEÑA GRANDE,OPERATIVO,,CALLE DE  INS.DEP/METRO LACOMA,3,20087521,
216786, C.E.I.P. LORENZO LUZURIAGA,8,FUENCARRAL-EL PARDO,85,LA PAZ,OPERATIVO,,CALLE DE  C.E.I.P. LORENZO LUZURIAGA,4,11045831,
216969, C.P. ENRIQUE GRANADOS,8,FUENCARRAL-EL PARDO,86,VALVERDE,OPERATIVO,,CALLE DE  C.P. ENRIQUE GRANADOS,5,11047353,
217387, INSTALACION DEPORTIVA MIRADOR DE LA REINA,8,FUENCARRAL-EL PARDO,87,MIRASIERRA,OPERATIVO,,CALLE DE  INSTALACION DEPORTIVA MIRADOR DE LA REINA,156,31044725,
217414, COLEGIO FOMENTO MONTEALTO,8,FUENCARRAL-EL PARDO,87,MIRASIERRA,OPERATIVO,,CALLE DE  COLEGIO FOMENTO MONTEALTO,76,11051005,
217460, IES DAMASO ALONSO,8,FUENCARRAL-EL PARDO,85,LA PAZ,OPERATIVO,,CALLE DE  IES DAMASO ALONSO,21,11045818,
217575, BIBLIOTECA PUBLICA RAFAEL ALBERTI,8,FUENCARRAL-EL PARDO,85,LA PAZ,OPERATIVO,,CALLE DE  BIBLIOTECA PUBLICA RAFAEL ALBERTI,38,20165668,
217666, CERCANIAS RAMON Y CAJAL,8,FUENCARRAL-EL PARDO,86,VALVERDE,OPERATIVO,,CALLE DE  CERCANIAS RAMON Y CAJAL,44,11047267,
217909, POLIGONO INDUSTRIAL DE FUENCARRAL,8,FUENCARRAL-EL PARDO,86,VALVERDE,OPERATIVO,,CALLE DE  POLIGONO INDUSTRIAL DE FUENCARRAL,1,20152071,
218442, CENTRO CULTURAL ALFREDO KRAUS,8,FUENCARRAL-EL PARDO,87,MIRASIERRA,OPERATIVO,,GLORIETA DE  CENTRO CULTURAL ALFREDO KRAUS,9,31011398,
218669, COLEGIO MIRASIERRA,8,FUENCARRAL-EL PARDO,87,MIRASIERRA,OPERATIVO,,CALLE DE  COLEGIO MIRASIERRA,22,20016656,
219187, ANILLO VERDE CICLISTA (PARQUE ARROYO FRESNO),8,FUENCARRAL-EL PARDO,87,MIRASIERRA,OPERATIVO,,CALLE DE  ANILLO VERDE CICLISTA (PARQUE ARROYO FRESNO),36,20135684,
