id_local,desc_distrito_local,desc_barrio_local,direccion,Cod_Postal,coordenada_x_local,coordenada_y_local,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,min_ini_LJ_es,hora_fin_LJ_es 1,min_fin_LJ_es,hora_ini_LJ_ra,min_ini_LJ_ra,hora_fin_LJ_ra,min_fin_LJ_ra,hora_ini_VS_es,min_ini_VS_es,hora_fin_VS_es,min_fin_VS_es,hora_ini_VS_ra,min_ini_VS_ra,hora_fin_VS_ra,min_fin_VS_ra,mesas_es,mesas_ra
"270519524,MONCLOA-ARAVACA,ARGUELLES,11 CALLE MARTIN DE LOS HEROS,28008,""439456,6"",""4475119,54"",Abierto,8 1/2 LIBROS DE CINE,Anual,Abierta,""19,46"",""19,46"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,8,8"
"270540061,USERA,ALMENDRALES,201 CALLE ANTONIO LOPEZ,28026,""440957,57"",""4470488,52"",Abierto,MONTEFERRO,Anual,Abierta,""65,55"",""65,55"",Zona de estacionamiento,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,18,18"
"270417284,USERA,ALMENDRALES,204 CALLE ANTONIO LOPEZ,28026,""440752,58"",""4470914,52"",Abierto,CAFETERIA 204,Anual,Abierta,""51,3"",""51,3"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,15,15"
"270534735,USERA,SAN-FERMIN,16 AVENIDA LOS ROSALES,28041,""441235,55"",""4468763,51"",Abierto,PARRILLA BONALMA,Anual,Abierta,""22,8"",""22,8"",Acera,10,0,1,0,10,0,0,0,10,0,1,30,10,0,0,0,7,8"
"270217569,USERA,MOSCARDO,164 CALLE MARCELO USERA,28026,""439357,59"",""4470780,53"",Abierto,BAR,Estacional,Abierta,""60,01"",,Plaza peatonal,10,0,1,0,,,,,10,0,2,30,,,,,17,"
"270156329,USERA,MOSCARDO,1 CALLE DOLORES SOPEÑA,28026,""439941,59"",""4471234,53"",Abierto,BAR LUZON,Anual,Abierta,""48,59"",""48,59"",Acera,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,15,15"
"270363433,USERA,ORCASUR,2 CALLE PADRE JOSE MARIA,28041,""440611,56"",""4468695,51"",Abierto,CAFETERIA HALLEY,Estacional,Abierta,20,,Acera,8,0,1,30,,,,,8,0,1,30,,,,,4,"
"270432683,USERA,ORCASITAS,1 PLAZA MIL DELEGADOS,28041,""440044,56"",""4469089,52"",Abierto,BAR SANCHEZ,Estacional,Abierta,""25,92"",,Plaza peatonal,10,0,1,0,,,,,10,0,2,30,,,,,8,"
"270280806,VILLAVERDE,LOS-ANGELES,12 CALLE BOHEMIOS,28041,""440867,54"",""4467567,51"",Abierto,VENTA CARMONA,Anual,Abierta,""64,03"",""64,03"",Calle peatonal,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,16,16"
"270183220,VILLAVERDE,LOS-ANGELES,5 CALLE ESCORIAZA,28041,""440933,54"",""4466974,51"",Abierto,CAFETERIA LUMAR,Estacional,Abierta,""37,73"",,Acera,8,0,1,30,,,,,8,0,1,30,,,,,12,"
"270471784,VILLAVERDE,LOS-ANGELES,1 CALLE LA CANCION DEL OLVIDO,28041,""440717,55"",""4468045,51"",Abierto,BAR CASA MONICA,Anual,Abierta,""195,7"",""195,7"",Superficie en parcela privada,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,29,29"
