Identificador,Gis_X,Gis_Y,Fecha de Alta,Distrito,Barrio,Nº Finca,Tipo de Reserva,Puestos,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Línea / Batería,LongitudP,Horario
04.15 b,"442482,7100000000","4475149,7200000000",42033,04  SALAMANCA,04-02 GOYA,79,Taxi,4,40.424993,-3.6780422,"GOYA, CALLE, DE, 79",,,,,Línea,"20,10",
04.17,"441998,8100000000","4475486,0100000000",1,04  SALAMANCA,04-01 RECOLETOS,58,Taxi,8,40.4279889,-3.683777,"VELAZQUEZ, CALLE, DE, 58",,,,,Línea,"39,00",
04.19,"442724,8700000000","4476198,8300000000",35816,04  SALAMANCA,04-05 LISTA,64,Taxi,4,40.4344607,-3.6752823,"DIEGO DE LEON, CALLE, DE, 64",,,,,Línea,"20,70",
04.20,"441575,2100000000","4475688,5400000000",1,04  SALAMANCA,04-06 CASTELLANA,22,Taxi,8,40.4297838,-3.6887891,"CASTELLANA, PASEO, DE LA, 22",,,,,Línea,"41,90",
04.22,"443107,2200000000","4475105,5200000000",1,04  SALAMANCA,04-02 GOYA,127,Taxi,3,40.4246378,-3.6706767,"GOYA, CALLE, DE, 127",,,,,Línea,"15,00",
04.23,"442754,1400000000","4475111,0700000000",42661,04  SALAMANCA,04-02 GOYA,76,Taxi,4,40.4246636,-3.6748392,"GOYA, CALLE, DE, 76",,,,,Línea,"26,00",
04.25 a,"441648,8000000000","4476052,7400000000",37918,04  SALAMANCA,04-06 CASTELLANA,40,Taxi,6,40.4330698,-3.687955,"CASTELLANA, PASEO, DE LA, 40",,,,,Línea,"30,00",
04.25 b,"441642,4100000000","4476015,9000000000",40973,04  SALAMANCA,04-06 CASTELLANA,38,Taxi,5,40.4327375,-3.688027,"CASTELLANA, PASEO, DE LA, 38",,,,,Línea,"20,00",
04.27 a,"443795,3000000000","4475830,2500000000",35564,04  SALAMANCA,04-04 GUINDALERA,237,Taxi,8,40.4312133,-3.6626299,"ALCALA, CALLE, DE, 237",,,,,Línea,"40,10",EN DIAS DEESPECTACULO
04.27 b,"443851,8200000000","4475886,8600000000",35566,04  SALAMANCA,04-04 GUINDALERA,237,Taxi,28,40.4317271,-3.6619686,"ALCALA, CALLE, DE, 237",,,,,Línea,"140,60",RESERVADO TAXIS DE 20 A 22 H. EN DIAS DE EXPECTACULO
04.29,"441521,2800000000","4475329,4900000000",40446,04  SALAMANCA,04-01 RECOLETOS,2,Taxi,1,40.4265455,-3.6893918,"HERMOSILLA, CALLE, DE, 2",,,,,Línea,"5,00",
04.35,"443736,6100000000","4476637,3900000000",37084,04  SALAMANCA,04-04 GUINDALERA,51,Taxi,3,40.4384805,-3.6633933,"BRUSELAS, AVENIDA, DE, 51",,,,,Batería,"7,10",
04.36,"443682,8800000000","4476305,2000000000",42094,04  SALAMANCA,04-04 GUINDALERA,1,Taxi,3,40.4354843,-3.6639973,"BIARRITZ, CALLE, DE, 1",,,,,Línea,"18,30",
04.37,"443099,4800000000","4475238,5300000000",35724,04  SALAMANCA,04-02 GOYA,19,Taxi,3,40.4258355,-3.6707799,"FUENTE DEL BERRO, CALLE, DE LA, 19",,,,,Línea,"15,00",
04.43,"441978,8100000000","4474861,4200000000",37592,04  SALAMANCA,04-01 RECOLETOS,25,Taxi,5,40.4223609,-3.6839558,"VILLANUEVA, CALLE, DE, 25",,,,,Línea,"25,30",
04.44,"442963,0900000000","4476593,2200000000",36714,04  SALAMANCA,04-04 GUINDALERA,83,Taxi,3,40.4380299,-3.6725092,"CARTAGENA, CALLE, DE, 83",,,,,Línea,"15,10",
04.46,"443005,0200000000","4474840,8000000000",36907,04  SALAMANCA,04-02 GOYA,56,Taxi,2,40.4222461,-3.6718577,"DUQUE DE SESTO, CALLE, DEL, 56",,,,,Línea,"10,90",
04.50,"443556,2200000000","4476977,1600000000",40687,04  SALAMANCA,04-04 GUINDALERA,S/N,Taxi,5,40.4415291,-3.6655503,"AMERICA, AVENIDA, DE, S/N",,,,,Línea,"25,00",DÍAS LABORABLES DE LUNES A VIERNES DE 8 A 19 H
