ID,Gis_X,Gis_Y,FechadeAlta,Distrito,SameAs_Wikidata_Distrito,Barrio,SameAs_Wikidata_Barrio,NFinca,TipodeReserva,SameAs_Wikidata_TipodeReserva,NumerodePlazas,Longitud,Latitud,Direccion
91,"442417,66","4475274,35",41813,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,73,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.788.203,404.261.113,"HERMOSILLA, CALLE, DE, 73"
92,"441767,83","4475291,85",41813,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,45,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.864.821,404.262.237,"CLAUDIO COELLO, CALLE, DE, 45"
93,"441518,8","4475235,48",41813,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,3,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.894.124,404.256.984,"GOYA, CALLE, DE, 3"
94,"441407,18","4474977,73",41813,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,22,BiciMAD,https://wikidata.org/entity/Q17402113,21,-36.907.044,404.233.686,"RECOLETOS, PASEO, DE, 22"
95,"441721,55",4474897,41813,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,19,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.869.914,404.226.634,"CLAUDIO COELLO, CALLE, DE, 19"
96,"442140,46","4474825,84",41813,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,111,BiciMAD,https://wikidata.org/entity/Q17402113,27,-36.820.471,404.220.516,"ALCALA, CALLE, DE, 111"
97,"442301,64","4474872,66",41813,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,1,BiciMAD,https://wikidata.org/entity/Q17402113,27,-36.801.515,404.224.846,"MENENDEZ PELAYO, AVENIDA, DE, 1"
98,"442705,5","4475058,99",41813,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,5,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.754.079,404.241.911,"FELIPE II, AVENIDA, DE, 5"
99,"442829,62","4475270,48",41813,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,2,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.739.638,404.261.048,"ALCANTARA, CALLE, DE, 2"
100,"442835,81","4475123,85",41813,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,99,BiciMAD,https://wikidata.org/entity/Q17402113,24,-36.738.777,404.247.843,"GOYA, CALLE, DE, 99"
